symbol,type,price,pnl,capital,timestamp
^NSEBANK,SELL,60168.55078125,0.0,100000.0,2026-01-06 18:04:52.398619
^NSEBANK,CLOSE,60262.25,-93.69921875,99906.30078125,2026-01-06 18:04:52.399018
^NSEBANK,SELL,60205.94921875,0.0,99906.30078125,2026-01-06 18:04:52.399651
^NSEBANK,CLOSE,60276.0,-70.05078125,99836.25,2026-01-06 18:04:52.399885
^NSEBANK,SELL,60318.0,0.0,99836.25,2026-01-06 18:04:52.402405
^NSEBANK,CLOSE,60284.94921875,33.05078125,99869.30078125,2026-01-06 18:04:52.402705
^NSEBANK,SELL,60284.94921875,0.0,99869.30078125,2026-01-06 18:04:52.402726
^NSEBANK,CLOSE,60317.3515625,-32.40234375,99836.8984375,2026-01-06 18:04:52.402792
^NSEBANK,SELL,60305.8515625,0.0,99836.8984375,2026-01-06 18:04:52.403693
^NSEBANK,CLOSE,60348.05078125,-42.19921875,99794.69921875,2026-01-06 18:04:52.403868
^NSEBANK,SELL,60276.5,0.0,99794.69921875,2026-01-06 18:04:52.404731
^NSEBANK,CLOSE,60247.1015625,29.3984375,99824.09765625,2026-01-06 18:04:52.405001
^NSEBANK,SELL,60247.1015625,0.0,99824.09765625,2026-01-06 18:04:52.405022
^NSEBANK,CLOSE,60189.8984375,57.203125,99881.30078125,2026-01-06 18:04:52.405311
^NSEBANK,SELL,60189.8984375,0.0,99881.30078125,2026-01-06 18:04:52.405329
^NSEBANK,CLOSE,60224.8984375,-35.0,99846.30078125,2026-01-06 18:04:52.405700
^NSEBANK,SELL,60197.19921875,0.0,99846.30078125,2026-01-06 18:04:52.405888
^NSEBANK,CLOSE,60218.94921875,-21.75,99824.55078125,2026-01-06 18:04:52.406054
^NSEBANK,SELL,60250.94921875,0.0,99824.55078125,2026-01-06 18:04:52.406652
^NSEBANK,CLOSE,60226.94921875,24.0,99848.55078125,2026-01-06 18:04:52.406983
^NSEBANK,SELL,60226.94921875,0.0,99848.55078125,2026-01-06 18:04:52.407004
^NSEBANK,CLOSE,60263.8984375,-36.94921875,99811.6015625,2026-01-06 18:04:52.408466
^NSEBANK,SELL,60248.69921875,0.0,99811.6015625,2026-01-06 18:04:52.408729
^NSEBANK,CLOSE,60240.1015625,8.59765625,99820.19921875,2026-01-06 18:04:52.409031
^NSEBANK,SELL,60240.1015625,0.0,99820.19921875,2026-01-06 18:04:52.409053
^NSEBANK,CLOSE,60252.1015625,-12.0,99808.19921875,2026-01-06 18:04:52.409347
^NSEBANK,SELL,60200.69921875,0.0,99808.19921875,2026-01-06 18:04:52.410127
^NSEBANK,CLOSE,60237.3515625,-36.65234375,99771.546875,2026-01-06 18:04:52.410577
^NSEBANK,SELL,60097.3515625,0.0,99771.546875,2026-01-06 18:04:52.412445
^NSEBANK,CLOSE,60124.8515625,-27.5,99744.046875,2026-01-06 18:04:52.412574
^NSEBANK,SELL,60037.44921875,0.0,99744.046875,2026-01-06 18:04:52.413695
^NSEBANK,CLOSE,60041.25,-3.80078125,99740.24609375,2026-01-06 18:04:52.413829
^NSEBANK,BUY,60041.25,0.0,99740.24609375,2026-01-06 18:04:52.413850
^NSEBANK,CLOSE,60017.6484375,-23.6015625,99716.64453125,2026-01-06 18:04:52.414126
^NSEBANK,SELL,59935.94921875,0.0,99716.64453125,2026-01-06 18:04:52.414687
^NSEBANK,CLOSE,59932.0,3.94921875,99720.59375,2026-01-06 18:04:52.414950
^NSEBANK,SELL,59932.0,0.0,99720.59375,2026-01-06 18:04:52.414971
^NSEBANK,CLOSE,59901.44921875,30.55078125,99751.14453125,2026-01-06 18:04:52.415529
^NSEBANK,BUY,59901.44921875,0.0,99751.14453125,2026-01-06 18:04:52.415547
^NSEBANK,CLOSE,59923.8515625,22.40234375,99773.546875,2026-01-06 18:04:52.415960
^NSEBANK,BUY,59923.8515625,0.0,99773.546875,2026-01-06 18:04:52.415995
^NSEBANK,CLOSE,59913.94921875,-9.90234375,99763.64453125,2026-01-06 18:04:52.416438
^NSEBANK,BUY,59913.94921875,0.0,99763.64453125,2026-01-06 18:04:52.416458
^NSEBANK,CLOSE,59923.6015625,9.65234375,99773.296875,2026-01-06 18:04:52.416632
^NSEBANK,SELL,59923.6015625,0.0,99773.296875,2026-01-06 18:04:52.416649
^NSEBANK,CLOSE,59912.44921875,11.15234375,99784.44921875,2026-01-06 18:04:52.416824
^NSEBANK,SELL,59912.44921875,0.0,99784.44921875,2026-01-06 18:04:52.416840
^NSEBANK,CLOSE,59962.25,-49.80078125,99734.6484375,2026-01-06 18:04:52.417014
^NSEBANK,SELL,59966.6484375,0.0,99734.6484375,2026-01-06 18:04:52.417505
^NSEBANK,CLOSE,60005.05078125,-38.40234375,99696.24609375,2026-01-06 18:04:52.417698
^NSEBANK,BUY,60050.6484375,0.0,99696.24609375,2026-01-06 18:04:52.418298
^NSEBANK,CLOSE,60019.5,-31.1484375,99665.09765625,2026-01-06 18:04:52.420163
^NSEBANK,SELL,60019.5,0.0,99665.09765625,2026-01-06 18:04:52.420188
^NSEBANK,CLOSE,60038.75,-19.25,99645.84765625,2026-01-06 18:04:52.420316
^NSEBANK,SELL,59994.6015625,0.0,99645.84765625,2026-01-06 18:04:52.420560
^NSEBANK,CLOSE,60055.5,-60.8984375,99584.94921875,2026-01-06 18:04:52.420677
